trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-210.7100963475626,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-94.2705388047418,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-132.91336154792873,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-97.20635846236179,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-34.0605278592097,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-94.68433015128994,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-98.9807974806528,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-65.73906811653954,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-113.69146760358016,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-74.7387295760944,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-17.856062738356773,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-120.43661504243813,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-80.61830352572277,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-17.721601690591577,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-94.44534227049893,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-31.887046553995233,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-36.5719171993488,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-25.040533907409834,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,16,9.95493983265966,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,2,-67.13447241771063,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-107.7542630541602,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,3,-54.26998301596563,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,14,-14.432525495083448,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,10,-45.95419389425737,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,17,-24.031604657733805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-13.441973228418263,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,30.574401290520193,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-47.36276295669015,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,8.117638180080895,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-71.46039991266997,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
