trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-148.40565752996952,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-178.14310331848773,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-154.6145734999236,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-144.56242788127835,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-79.929705750674,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-130.58660949484658,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-34.362060633609474,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-133.24488651359215,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-94.1124438616194,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-85.84412068011498,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-76.19191715687752,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-128.81675628489498,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-78.82888200931927,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-68.17610070330447,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-116.99867335654127,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-142.77022155711586,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,7,-96.16830418377491,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 1}",1
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",30,0,-231.11278474017047,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-30.142231268899625,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-62.887303741455185,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-20.78377792401,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-116.03018266081897,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,12,-81.01283101746499,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,10,-58.23402358303021,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,-102.92705791280025,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",25,0,-65.36728716218204,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,0,-54.774247278034665,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-87.03836030956792,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,0,-82.89449354240497,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-176.53557639779447,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-119.49397904909802,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",25,0,-102.89485766314934,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-114.41734735789444,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,0,-176.99545209210257,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
