trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.4639615202447,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-237.25471297310196,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.37909647162854,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.90009144681746,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.63504602485,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-165.30307672136786,"{0: 24, 1: 1, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.45639013924469,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.14309267019775,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.788583685417,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.46342721018009,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.42067014632255,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.85161887550461,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.07249081382056,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.38617692937038,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.19675405714162,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.231625238883176,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.44261136763234,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.61116405920312,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.62110679194853,"{0: 5, 1: 7, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-273.7648920678891,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.09613332598612,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.21980421446035,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.04013351421645,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,10,-220.22501934862373,"{0: 7, 1: 3, 2: 5, 3: 2, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.81862691953424,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-238.60987880186315,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.87181693525534,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.73629100404094,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.27267084412347,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,19,2.275498426757391,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
